date,Year,Month,Day,Weekday,Flag Holiday
2012-01-01,2012,1,1,6,1
2012-04-09,2012,4,9,0,1
2012-05-01,2012,5,1,1,1
2012-05-08,2012,5,8,1,1
2012-05-17,2012,5,17,3,1
2012-05-28,2012,5,28,0,1
2012-07-14,2012,7,14,5,1
2012-08-15,2012,8,15,2,1
2012-11-01,2012,11,1,3,1
2012-11-11,2012,11,11,6,1
2012-12-25,2012,12,25,1,1
2013-01-01,2013,1,1,1,1
2013-04-01,2013,4,1,0,1
2013-05-01,2013,5,1,2,1
2013-05-08,2013,5,8,2,1
2013-05-09,2013,5,9,3,1
2013-05-20,2013,5,20,0,1
2013-07-14,2013,7,14,6,1
2013-08-15,2013,8,15,3,1
2013-11-01,2013,11,1,4,1
2013-11-11,2013,11,11,0,1
2013-12-25,2013,12,25,2,1
2014-01-01,2014,1,1,2,1
2014-04-21,2014,4,21,0,1
2014-05-01,2014,5,1,3,1
2014-05-08,2014,5,8,3,1
2014-05-29,2014,5,29,3,1
2014-06-09,2014,6,9,0,1
2014-07-14,2014,7,14,0,1
2014-08-15,2014,8,15,4,1
2014-11-01,2014,11,1,5,1
2014-11-11,2014,11,11,1,1
2014-12-25,2014,12,25,3,1
2015-01-01,2015,1,1,3,1
2015-04-06,2015,4,6,0,1
2015-05-01,2015,5,1,4,1
2015-05-08,2015,5,8,4,1
2015-05-14,2015,5,14,3,1
2015-05-25,2015,5,25,0,1
2015-07-14,2015,7,14,1,1
2015-08-15,2015,8,15,5,1
2015-11-01,2015,11,1,6,1
2015-11-11,2015,11,11,2,1
2015-12-25,2015,12,25,4,1
2016-01-01,2016,1,1,4,1
2016-03-28,2016,3,28,0,1
2016-05-01,2016,5,1,6,1
2016-05-05,2016,5,5,3,1
2016-05-08,2016,5,8,6,1
2016-05-16,2016,5,16,0,1
2016-07-14,2016,7,14,3,1
2016-08-15,2016,8,15,0,1
2016-11-01,2016,11,1,1,1
2016-11-11,2016,11,11,4,1
2016-12-25,2016,12,25,6,1
2017-01-01,2017,1,1,6,1
2017-04-17,2017,4,17,0,1
2017-05-01,2017,5,1,0,1
2017-05-08,2017,5,8,0,1
2017-05-25,2017,5,25,3,1
2017-06-05,2017,6,5,0,1
2017-07-14,2017,7,14,4,1
2017-08-15,2017,8,15,1,1
2017-11-01,2017,11,1,2,1
2017-11-11,2017,11,11,5,1
2017-12-25,2017,12,25,0,1
2018-01-01,2018,1,1,0,1
2018-04-02,2018,4,2,0,1
2018-05-01,2018,5,1,1,1
2018-05-08,2018,5,8,1,1
2018-05-10,2018,5,10,3,1
2018-05-21,2018,5,21,0,1
2018-07-14,2018,7,14,5,1
2018-08-15,2018,8,15,2,1
2018-11-01,2018,11,1,3,1
2018-11-11,2018,11,11,6,1
2018-12-25,2018,12,25,1,1
2019-01-01,2019,1,1,1,1
2019-04-22,2019,4,22,0,1
2019-05-01,2019,5,1,2,1
2019-05-08,2019,5,8,2,1
2019-05-30,2019,5,30,3,1
2019-06-10,2019,6,10,0,1
2019-07-14,2019,7,14,6,1
2019-08-15,2019,8,15,3,1
2019-11-01,2019,11,1,4,1
2019-11-11,2019,11,11,0,1
2019-12-25,2019,12,25,2,1
2020-01-01,2020,1,1,2,1
2020-04-13,2020,4,13,0,1
2020-05-01,2020,5,1,4,1
2020-05-08,2020,5,8,4,1
2020-05-21,2020,5,21,3,1
2020-06-01,2020,6,1,0,1
2020-07-14,2020,7,14,1,1
2020-08-15,2020,8,15,5,1
2020-11-01,2020,11,1,6,1
2020-11-11,2020,11,11,2,1
2020-12-25,2020,12,25,4,1
2021-01-01,2021,1,1,4,1
2021-04-05,2021,4,5,0,1
2021-05-01,2021,5,1,5,1
2021-05-08,2021,5,8,5,1
2021-05-13,2021,5,13,3,1
2021-05-24,2021,5,24,0,1
2021-07-14,2021,7,14,2,1
2021-08-15,2021,8,15,6,1
2021-11-01,2021,11,1,0,1
2021-11-11,2021,11,11,3,1
2021-12-25,2021,12,25,5,1
2022-01-01,2022,1,1,5,1
2022-04-18,2022,4,18,0,1
2022-05-01,2022,5,1,6,1
2022-05-08,2022,5,8,6,1
2022-05-26,2022,5,26,3,1
