Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2012-01-03;76698.0;8.4;4.6
2012-01-08;66520.0;7.9;4.7
2012-01-12;80367.0;5.1;4.7
2012-01-15;75776.0;1.1;4.8
2012-01-17;86516.0;1.0;4.9
2012-01-20;77142.0;8.6;5.0
2012-01-21;67308.0;9.7;5.1
2012-01-23;76532.0;7.9;5.2
2012-01-28;72294.0;4.2;5.4
2012-01-29;74171.0;2.6;5.4
2012-01-31;89707.0;0.6;5.5
2012-02-01;94396.0;-1.5;5.6
2012-02-04;91022.0;-4.4;5.8
2012-02-13;93470.0;0.1;6.3
2012-02-27;73059.0;6.5;7.1
2012-03-01;69375.0;9.0;7.2
2012-03-04;62882.0;8.8;7.5
2012-03-09;75027.0;6.8;7.8
2012-03-13;66803.0;10.8;8.2
2012-03-23;62611.0;12.9;9.1
2012-03-27;59208.0;14.1;9.5
2012-03-30;57720.0;13.4;9.9
2012-04-04;63591.0;9.6;10.5
2012-04-06;63715.0;10.2;10.7
2012-04-09;55367.0;10.3;11.1
2012-04-17;70296.0;7.5;12.1
2012-04-19;67250.0;9.1;12.4
2012-04-22;56880.0;9.2;12.8
2012-04-24;67514.0;9.3;13.1
2012-05-17;52177.0;12.6;15.9
2012-05-19;49742.0;14.4;16.1
2012-05-20;48579.0;14.2;16.2
2012-05-23;57464.0;17.0;16.6
2012-05-27;45034.0;18.5;17.0
2012-05-29;54685.0;19.6;17.2
2012-05-30;55514.0;19.2;17.3
2012-05-31;55196.0;18.5;17.4
2012-06-01;54967.0;19.3;17.5
2012-06-04;54017.0;15.1;17.8
2012-06-06;55755.0;17.0;18.0
2012-06-24;46209.0;17.8;19.7
2012-06-30;49169.0;20.2;20.2
2012-07-01;45795.0;17.0;20.2
2012-07-10;55971.0;18.5;20.8
2012-07-14;47727.0;17.5;21.0
2012-07-20;55139.0;17.8;21.2
2012-07-21;47690.0;17.8;21.2
2012-07-27;55405.0;23.6;21.2
2012-07-29;44991.0;18.2;21.2
2012-08-01;52839.0;21.6;21.2
2012-08-04;45875.0;20.2;21.1
2012-08-07;48415.0;18.8;20.9
2012-08-14;49614.0;21.9;20.5
2012-08-15;44196.0;22.5;20.4
2012-08-22;53224.0;21.4;19.9
2012-08-24;52784.0;20.6;19.6
2012-08-25;46937.0;20.1;19.5
2012-08-29;55179.0;20.2;19.1
2012-09-01;46824.0;14.7;18.8
2012-09-08;48224.0;20.1;17.9
2012-09-09;44884.0;20.9;17.8
2012-09-11;56059.0;18.8;17.5
2012-09-15;47495.0;16.6;17.0
2012-09-16;44426.0;16.6;16.9
2012-09-18;54768.0;16.2;16.6
2012-09-23;46577.0;17.9;16.0
2012-09-24;54911.0;17.3;15.9
2012-09-29;49883.0;13.5;15.2
2012-10-06;49777.0;16.6;14.3
2012-10-07;48955.0;15.8;14.2
2012-10-09;57566.0;17.0;13.9
2012-10-11;58161.0;15.7;13.6
2012-10-13;52485.0;11.1;13.4
2012-10-15;62290.0;9.9;13.1
2012-10-19;58313.0;16.1;12.6
2012-10-21;50115.0;16.5;12.3
2012-11-13;73810.0;7.4;9.0
2012-11-29;80609.0;5.3;6.8
2012-12-03;80560.0;6.3;6.3
2012-12-07;84188.0;3.0;5.9
2012-12-11;88221.0;1.8;5.5
2012-12-16;66644.0;8.8;5.2
2012-12-18;76955.0;7.5;5.0
2012-12-20;77047.0;7.4;4.9
2012-12-21;72671.0;7.5;4.9
2013-01-03;74649.0;7.1;4.6
2013-01-07;78805.0;5.9;4.6
2013-01-13;72712.0;3.6;4.8
2013-01-19;82866.0;1.3;5.0
2013-01-23;86621.0;2.7;5.2
2013-01-26;79901.0;2.1;5.3
2013-01-28;81599.0;6.5;5.4
2013-02-09;78398.0;1.9;6.0
2013-02-17;70858.0;3.5;6.5
2013-02-22;86046.0;-0.5;6.8
2013-03-01;83005.0;3.5;7.2
2013-03-06;71564.0;10.6;7.6
2013-03-08;66656.0;11.3;7.8
2013-03-10;61974.0;8.3;7.9
2013-03-11;76612.0;6.0;8.0
2013-03-24;64559.0;7.3;9.2
