Hour,avg_consumption
12,59470.57531545741
13,59076.4587276551
11,58793.34253417455
10,58401.448080967406
19,58297.00144584648
9,57499.80257623554
14,57315.44190325973
20,56940.023659305996
18,55961.945320715036
23,55842.79311251314
8,55661.37723449001
15,55474.58859095689
21,54612.863958990536
16,54199.09476866457
0,54120.92981072555
17,54033.66824395373
22,53525.432570977915
7,52877.898922187174
1,50289.62828601472
2,49205.95176130389
6,48879.11027865405
3,46751.00223449001
5,46030.54337539432
4,45343.01288117771
