Field,Type,Null,Key,Default,Extra
Datetime,datetime,NO,,NULL,NULL
date,date,NO,,NULL,NULL
Year,int,NO,,NULL,NULL
Month,int,NO,,NULL,NULL
Day,int,NO,,NULL,NULL
Hour,int,NO,,NULL,NULL
Weekday,int,NO,,NULL,NULL
"Consumption (MW)",float,NO,,NULL,NULL
"Fuel oil (MW)",float,NO,,NULL,NULL
"Coal (MW)",float,NO,,NULL,NULL
"Gas (MW)",float,NO,,NULL,NULL
"Nuclear (MW)",float,NO,,NULL,NULL
"Wind (MW)",float,NO,,NULL,NULL
"Solar (MW)",float,NO,,NULL,NULL
"Hydroelectric (MW)",float,NO,,NULL,NULL
"Pumped storage (MW)",float,NO,,NULL,NULL
"Bioenergy (MW)",float,NO,,NULL,NULL
"Physical exchanges (MW)",float,NO,,NULL,NULL
"CO2 emissions intensity (g/kWh)",float,NO,,NULL,NULL
"Trading with England (MW)",float,NO,,NULL,NULL
"Trading with Spain (MW)",float,NO,,NULL,NULL
"Trading with Italy (MW)",float,NO,,NULL,NULL
"Trading with Switzerland (MW)",float,NO,,NULL,NULL
"Trading with Germany-Belgium (MW)",float,NO,,NULL,NULL
"Flag Holiday",int,NO,,NULL,NULL
"Average temperature (°C)",float,NO,,NULL,NULL
"Reference temperature (°C)",float,NO,,NULL,NULL
"Temperature Deviation (°C)",float,NO,,NULL,NULL
